iter	Logloss
0	0.6798043602
1	0.6660539146
2	0.6543251037
3	0.6439791605
4	0.6354081486
5	0.6267198424
6	0.6187596366
7	0.6115485654
8	0.6048734598
9	0.5990953772
10	0.5934615212
11	0.5888331656
12	0.5849867169
13	0.5816535149
14	0.5786762241
15	0.575402536
16	0.5728755587
17	0.5699549514
18	0.5677447479
19	0.5653615648
20	0.5634934387
21	0.5617151978
22	0.5602114166
23	0.5588288383
24	0.5575549131
25	0.5563009643
26	0.555144429
27	0.5542754606
28	0.553327333
29	0.5525427681
30	0.551843179
31	0.5510958918
32	0.5503336441
33	0.5497135003
34	0.5492264575
35	0.5486505617
36	0.5480780769
37	0.5476610299
38	0.5471701582
39	0.5468637769
40	0.5465046269
41	0.5461488824
42	0.5458880797
43	0.5455355613
44	0.5452482823
45	0.5449732363
46	0.5447095273
47	0.5444057374
48	0.5441561577
49	0.5439369701
50	0.5437335968
51	0.543520078
52	0.5432815209
53	0.5431152067
54	0.5429140478
55	0.5427418978
56	0.542586114
57	0.5424124671
58	0.5422966705
59	0.5421020059
60	0.5419422734
61	0.5417548866
62	0.5416013849
63	0.541450665
64	0.5412970478
65	0.5411645666
66	0.5410424
67	0.5408116271
68	0.5407011
69	0.5405777291
70	0.5403995367
71	0.5402381173
72	0.5400785359
73	0.539961537
74	0.5398434823
75	0.5396986875
76	0.5395794297
77	0.5394374043
78	0.5394062693
79	0.539250697
80	0.5390312703
81	0.5389036011
82	0.5387893891
83	0.5386324166
84	0.5384939082
85	0.538333734
86	0.5381899359
87	0.5380952424
88	0.5379522358
89	0.5377820944
90	0.5376432063
91	0.5375613173
92	0.5374720192
93	0.5374098462
94	0.5372653286
95	0.5371060465
96	0.5370191621
97	0.5368115889
98	0.5366897812
99	0.5365711657
100	0.5364611303
101	0.5363335924
102	0.5362113666
103	0.5360884652
104	0.5359332322
105	0.5357606502
106	0.5356255436
107	0.5354961232
108	0.5353713668
109	0.5351743023
110	0.5350901573
111	0.5349247048
112	0.5347827295
113	0.5346804884
114	0.5345702792
115	0.534496073
116	0.5343734534
117	0.5342640346
118	0.5341049364
119	0.5340416163
120	0.5339226693
121	0.5337847865
122	0.5336158702
123	0.5335105078
124	0.5333919217
125	0.5332900558
126	0.533228625
127	0.5331281629
128	0.5329935016
129	0.5328863991
130	0.5327738663
131	0.5327045398
132	0.5325678635
133	0.5324712323
134	0.5323562841
135	0.5322722749
136	0.5320768409
137	0.531964508
138	0.5318417132
139	0.5317275469
140	0.5316580959
141	0.5315402986
142	0.5314168393
143	0.5313159535
144	0.5312481453
145	0.5310727726
146	0.5309672283
147	0.5308310866
148	0.5306554939
149	0.5305478953
150	0.5304884029
151	0.5303578893
152	0.5301500303
153	0.5300527024
154	0.5299404567
155	0.5298132229
156	0.5297059619
157	0.5295700159
158	0.529482534
159	0.5293867272
160	0.5292971263
161	0.5291803871
162	0.5290540523
163	0.5289566207
164	0.5288563863
165	0.5287666134
166	0.528599456
167	0.5284844471
168	0.5283703036
169	0.5283053923
170	0.5282289746
171	0.5281025967
172	0.527982839
173	0.5278725139
174	0.527784916
175	0.5276639182
176	0.5275589781
177	0.5274188885
178	0.5273089326
179	0.5272137967
180	0.5269847263
181	0.5268614237
182	0.526726538
183	0.5265791333
184	0.5264156693
185	0.526265238
186	0.5261390166
187	0.5259868455
188	0.5258451881
189	0.5257020389
190	0.5255845439
191	0.525479938
192	0.5253611536
193	0.525191039
194	0.5250111895
195	0.5248287198
196	0.5246860327
197	0.5246030757
198	0.5244960637
199	0.5243509746
