iter	Passed	Remaining
0	5	1169
1	10	1076
2	15	1046
3	21	1031
4	25	1001
5	30	980
6	35	969
7	40	970
8	45	969
9	50	962
10	55	954
11	61	963
12	66	953
13	71	947
14	76	938
15	81	935
16	86	930
17	91	923
18	96	914
19	100	907
20	105	898
21	110	893
22	115	889
23	120	886
24	126	883
25	131	881
26	136	875
27	141	868
28	146	861
29	149	847
30	152	833
31	156	819
32	159	809
33	163	798
34	167	788
35	170	777
36	173	766
37	177	754
38	180	744
39	183	732
40	186	723
41	189	712
42	192	703
43	195	694
44	199	685
45	202	679
46	206	671
47	209	662
48	212	654
49	215	647
50	218	639
51	222	632
52	225	625
53	228	617
54	231	610
55	235	605
56	238	598
57	241	591
58	245	585
59	248	579
60	251	572
61	254	567
62	257	561
63	261	554
64	264	549
65	267	543
66	270	537
67	274	533
68	278	528
69	282	524
70	285	519
71	289	514
72	293	510
73	296	505
74	300	500
75	303	495
76	306	490
77	310	485
78	312	479
79	316	474
80	319	469
81	323	464
82	326	459
83	329	455
84	333	450
85	336	445
86	339	441
87	342	436
88	346	431
89	349	426
90	352	422
91	355	417
92	358	412
93	362	408
94	365	404
95	369	399
96	372	395
97	375	390
98	378	386
99	382	382
100	385	377
101	388	373
102	391	369
103	395	364
104	398	360
105	402	357
106	406	353
107	409	349
108	413	345
109	417	341
110	420	337
111	424	333
112	427	329
113	431	325
114	434	321
115	437	316
116	440	312
117	444	308
118	447	304
119	451	300
120	454	296
121	457	292
122	461	288
123	464	284
124	467	280
125	471	276
126	474	272
127	478	268
128	481	265
129	486	261
130	489	257
131	492	253
132	495	249
133	499	245
134	502	241
135	505	238
136	509	234
137	512	230
138	515	226
139	519	222
140	523	218
141	526	215
142	530	211
143	533	207
144	537	203
145	540	199
146	543	195
147	547	192
148	550	188
149	553	184
150	557	180
151	560	176
152	563	173
153	566	169
154	570	165
155	573	161
156	577	158
157	580	154
158	583	150
159	587	146
160	590	142
161	593	139
162	597	135
163	600	131
164	604	128
165	607	124
166	611	120
167	614	117
168	618	113
169	621	109
170	624	105
171	628	102
172	631	98
173	634	94
174	637	91
175	641	87
176	644	83
177	648	80
178	652	76
179	655	72
180	658	69
181	662	65
182	665	61
183	668	58
184	672	54
185	675	50
186	678	47
187	682	43
188	686	39
189	689	36
190	693	32
191	696	29
192	700	25
193	703	21
194	706	18
195	710	14
196	713	10
197	717	7
198	720	3
199	723	0
